Problem,Precision,Algorithm,Num Spatial Points,32,64,128,256,512,1024
Heat,Double,SweptCPUshare,65536,11.6589,7.04694,4.64042,4.58427,6.75439,8.88541
Heat,Double,SweptCPUshare,131072,20.7485,12.3386,8.16405,7.32311,8.31459,9.55397
Heat,Double,SweptCPUshare,262144,37.2997,22.6,14.9193,13.7303,13.7908,14.8753
Heat,Double,SweptCPUshare,524288,70.8559,43.2076,28.6317,26.4495,26.5585,28.7738
Heat,Double,SweptCPUshare,1048576,138.507,84.415,56.193,51.8038,52.2006,56.9043
Heat,Double,SweptGPU,2048,1.80626,1.36669,1.08253,0.966528,1.02935,1.23778
Heat,Double,SweptGPU,4096,1.90606,1.39635,1.17035,1.0488,1.03409,1.24411
Heat,Double,SweptGPU,8192,2.61284,1.58086,1.25931,1.14598,1.20415,1.24937
Heat,Double,SweptGPU,16384,3.52934,2.36213,1.62583,1.41749,1.4238,1.65351
Heat,Double,SweptGPU,32768,5.4613,3.54688,2.55675,2.39526,2.69446,3.136
Heat,Double,SweptGPU,65536,9.5274,6.00302,4.27365,4.0319,4.44967,4.80439
Heat,Double,SweptGPU,131072,18.5294,11.5579,7.99325,7.37896,7.68248,8.14658
Heat,Double,SweptGPU,262144,35.2653,21.8086,15.2292,13.9364,14.0072,14.8896
Heat,Double,SweptGPU,524288,68.4678,42.5211,29.5717,27.12,27.2768,28.939
Heat,Double,SweptGPU,1048576,135.247,83.7572,58.3681,53.4898,53.6026,57.3125
Heat,Single,Classic,2048,5.37762,5.10897,5.0436,4.99292,5.00604,5.08886
Heat,Single,Classic,4096,5.39448,5.15559,5.0766,5.04815,5.02661,5.0966
Heat,Single,Classic,8192,5.94728,5.18455,5.13111,5.06693,5.07616,5.11727
Heat,Single,Classic,16384,6.97572,5.89106,5.17661,5.14946,5.19256,5.23499
Heat,Single,Classic,32768,8.99654,6.93759,5.9368,5.92601,5.97368,6.21372
Heat,Single,Classic,65536,12.9532,9.01575,7.11898,7.10774,7.14796,7.55443
Heat,Single,Classic,131072,21.2648,13.2371,9.4806,9.47194,9.65148,10.277
Heat,Single,Classic,262144,43.2561,25.8912,19.3326,19.3232,19.1068,19.4033
Heat,Single,Classic,524288,81.3272,46.4408,33.3954,33.8132,33.1068,34.101
Heat,Single,Classic,1048576,157.975,87.4998,61.7002,62.5499,61.4575,63.4222
Heat,Single,SweptCPUshare,2048,5.06712,2.24125,1.88313,1.95023,3.11401,6.94164
Heat,Single,SweptCPUshare,4096,3.79334,2.27488,2.34449,2.06316,5.00188,6.90331
Heat,Single,SweptCPUshare,8192,4.62474,2.4415,1.98235,2.43107,3.70487,6.87127
Heat,Single,SweptCPUshare,16384,6.00368,3.14537,2.10139,3.60637,4.70589,7.03345
Heat,Single,SweptCPUshare,32768,7.24088,4.01509,2.75003,2.81909,5.57483,6.26822
Heat,Single,SweptCPUshare,65536,11.2085,6.02719,3.94639,3.63777,6.31458,7.67317
Heat,Single,SweptCPUshare,131072,18.299,10.1815,6.7583,6.04065,6.42256,8.33775
Heat,Single,SweptCPUshare,262144,34.0813,18.7818,12.5403,11.403,11.5278,12.288
Heat,Single,SweptCPUshare,524288,64.0978,35.3885,23.8307,22.0679,22.116,23.2434
Heat,Single,SweptCPUshare,1048576,125.054,68.8232,46.6921,43.2068,43.4483,46.1548
Heat,Single,SweptGPU,2048,1.7326,1.2114,0.95634,0.823757,0.842878,1.00636
