Problem,Precision,Algorithm,Num Spatial Points,32,64,128,256,512,1024
Heat,Double,SweptCPUshare,32768,7.04858,4.10926,2.79923,3.18857,4.91527,6.58225
Heat,Double,SweptCPUshare,65536,10.9385,6.46234,4.43204,3.79794,5.11595,8.09432
Heat,Double,SweptCPUshare,131072,19.3876,11.5759,7.92025,6.65563,6.62599,9.37858
Heat,Double,SweptCPUshare,262144,35.6394,21.1133,14.7136,12.5375,11.9709,12.4949
Heat,Double,SweptCPUshare,524288,68.2243,40.6883,28.5714,24.092,23.092,23.8755
Heat,Double,SweptCPUshare,1048576,133.104,79.6066,55.7247,47.2286,45.4074,47.085
Heat,Double,SweptGPU,2048,1.66129,1.18722,0.944522,0.823845,0.85583,1.02028
Heat,Double,SweptGPU,4096,1.76089,1.25819,1.0003,0.900395,0.858952,1.02617
Heat,Double,SweptGPU,8192,2.45178,1.4463,1.13626,1.01011,1.02756,1.02566
Heat,Double,SweptGPU,16384,3.34822,2.1384,1.53591,1.3026,1.24302,1.41414
Heat,Double,SweptGPU,32768,5.25305,3.25309,2.37796,2.12965,2.20992,2.633
Heat,Double,SweptGPU,65536,9.17147,5.60012,4.0873,3.63298,3.93672,4.08054
Heat,Double,SweptGPU,131072,17.7447,10.8121,7.70037,6.70348,6.79706,6.89306
Heat,Double,SweptGPU,262144,33.9626,20.578,14.7093,12.6884,12.4155,12.6577
Heat,Double,SweptGPU,524288,66.2519,40.1252,28.7607,24.7245,24.1761,24.6547
Heat,Double,SweptGPU,1048576,130.819,79.1973,56.8471,48.805,47.4344,48.5437
Heat,Single,Classic,2048,5.15205,5.0279,4.96823,4.91794,4.98983,5.11402
Heat,Single,Classic,4096,5.18323,5.05355,5.01511,4.99214,5.00093,5.1113
Heat,Single,Classic,8192,6.00443,5.14018,5.09627,5.107,5.09457,5.07258
Heat,Single,Classic,16384,7.04242,6.05818,5.2932,5.32247,5.39283,5.46137
Heat,Single,Classic,32768,9.03533,7.11122,6.11584,6.15277,6.22088,6.5171
Heat,Single,Classic,65536,13.1368,9.21565,7.30264,7.29406,7.37705,7.85383
Heat,Single,Classic,131072,21.3633,13.4415,9.66644,9.70872,9.96363,10.586
Heat,Single,Classic,262144,43.5913,26.2026,19.6984,19.7232,19.2833,19.9314
Heat,Single,Classic,524288,81.6933,46.808,33.9456,34.2485,33.0361,34.5958
Heat,Single,Classic,1048576,158.538,87.9681,62.1437,62.715,60.5921,63.7661
Heat,Single,SweptCPUshare,2048,3.45894,2.07865,2.07581,2.71736,4.33298,6.02413
Heat,Single,SweptCPUshare,4096,3.31708,2.16327,1.70861,2.43105,4.52694,6.34416
Heat,Single,SweptCPUshare,8192,4.11125,2.27846,2.37627,2.1968,3.96624,7.01565
Heat,Single,SweptCPUshare,16384,4.97234,2.91572,2.37742,2.14081,3.82663,7.06478
Heat,Single,SweptCPUshare,32768,6.62875,3.91569,2.51837,2.82721,4.53657,7.57903
Heat,Single,SweptCPUshare,65536,10.2719,5.79045,3.88014,3.44747,5.17099,8.37532
Heat,Single,SweptCPUshare,131072,17.9229,9.94973,6.63779,5.98721,7.09538,9.42216
Heat,Single,SweptCPUshare,262144,33.6012,18.4109,12.4407,11.4503,11.4924,12.0573
Heat,Single,SweptCPUshare,524288,63.9676,35.297,23.9647,22.0072,22.1121,23.3344
Heat,Single,SweptCPUshare,1048576,124.91,68.8179,46.8081,43.065,43.5048,46.2271
Heat,Single,SweptGPU,2048,1.6588,1.17191,0.922345,0.809154,0.838355,1.00547
Heat,Single,SweptGPU,4096,1.70185,1.23463,0.955482,0.859366,0.838339,1.00712
Heat,Single,SweptGPU,8192,2.40321,1.3497,1.05338,0.941001,0.962844,1.01051
Heat,Single,SweptGPU,16384,3.27864,2.04003,1.35987,1.17627,1.15605,1.37592
Heat,Single,SweptGPU,32768,5.0421,2.98686,2.15837,1.99202,2.06517,2.498
Heat,Single,SweptGPU,65536,8.5483,5.00685,3.58824,3.32001,3.60735,3.875
