Problem,Precision,Algorithm,#_Spatial_Points,32,64,128,256,512,1024
Heat,Double,SweptCPUshare,16384,5.51608,3.43026,2.12226,2.77137,4.0978,6.03826
Heat,Double,SweptCPUshare,32768,7.449,4.553,2.95399,3.04425,4.26208,7.87702
Heat,Double,SweptCPUshare,65536,11.7907,7.0184,4.59415,4.19427,5.22417,8.75104
Heat,Double,SweptCPUshare,131072,20.6442,12.4666,8.18167,7.30562,8.09139,9.2627
Heat,Double,SweptCPUshare,262144,37.3822,22.4987,14.9438,13.701,13.7558,14.8346
Heat,Double,SweptCPUshare,524288,70.9778,43.1952,28.7163,26.4867,26.5737,28.8923
Heat,Double,SweptCPUshare,1048576,138.418,84.3038,56.1743,51.8193,52.2096,57.0583
Heat,Double,SweptGPU,2048,1.77592,1.32425,1.0888,0.967425,1.03048,1.23985
Heat,Double,SweptGPU,4096,1.90324,1.42709,1.135,1.0502,1.03708,1.24273
Heat,Double,SweptGPU,8192,2.62128,1.57908,1.26178,1.14969,1.2078,1.24925
Heat,Double,SweptGPU,16384,3.5484,2.34648,1.64319,1.41964,1.42365,1.65929
Heat,Double,SweptGPU,32768,5.45782,3.52976,2.56996,2.38372,2.64734,3.152
Heat,Double,SweptGPU,65536,9.51596,5.99751,4.29435,4.0368,4.49909,4.80626
Heat,Double,SweptGPU,131072,18.5079,11.5243,8.06126,7.3771,7.69619,8.07423
Heat,Double,SweptGPU,262144,35.2241,21.7896,15.216,13.9388,14.0676,14.8886
Heat,Double,SweptGPU,524288,68.5749,42.4936,29.58,27.1249,27.2607,28.909
Heat,Double,SweptGPU,1048576,135.237,83.7402,58.3609,53.5022,53.5265,56.9772
Heat,Single,Classic,2048,5.35256,5.13178,5.03007,4.97795,5.01989,5.08906
Heat,Single,Classic,4096,5.34274,5.17208,5.08472,5.0425,5.00836,5.11491
Heat,Single,Classic,8192,5.9011,5.20947,5.11355,5.08997,5.07154,5.12298
Heat,Single,Classic,16384,6.92448,5.88454,5.17638,5.14676,5.18425,5.23922
Heat,Single,Classic,32768,8.95438,6.92576,5.96036,5.92962,5.99365,6.22385
Heat,Single,Classic,65536,12.9676,9.0396,7.10366,7.10528,7.15804,7.56318
Heat,Single,Classic,131072,21.2152,13.2684,9.46302,9.47422,9.66777,10.2776
Heat,Single,Classic,262144,43.2898,25.8875,19.2424,19.3211,19.0176,19.3978
Heat,Single,Classic,524288,81.4006,46.316,33.3194,33.6678,32.8728,34.1129
Heat,Single,Classic,1048576,157.934,87.4501,61.589,62.4393,61.2369,63.4518
Heat,Single,SweptCPUshare,2048,3.55632,2.45059,1.93374,2.00578,4.67708,6.86209
Heat,Single,SweptCPUshare,4096,4.05592,2.25647,1.92736,2.34248,3.32943,6.90327
Heat,Single,SweptCPUshare,8192,4.61006,2.48743,1.94964,2.30226,3.88919,5.8725
Heat,Single,SweptCPUshare,16384,5.50412,2.97439,2.97237,2.84687,3.81431,7.81682
Heat,Single,SweptCPUshare,32768,7.0484,4.03524,2.71641,2.82808,5.42696,7.59524
Heat,Single,SweptCPUshare,65536,10.6924,5.92743,3.95908,3.78115,6.08556,8.31841
Heat,Single,SweptCPUshare,131072,18.4508,10.0927,6.76016,6.07616,7.12732,9.6535
Heat,Single,SweptCPUshare,262144,33.8803,18.638,12.5748,11.5145,11.4623,12.0479
Heat,Single,SweptCPUshare,524288,64.384,35.3952,24.0109,22.0418,22.1386,23.3613
Heat,Single,SweptCPUshare,1048576,125.042,68.9485,46.7763,43.1134,43.3969,46.1739
Heat,Single,SweptGPU,2048,1.72938,1.21002,0.95318,0.82614,0.841603,1.0065
Heat,Single,SweptGPU,4096,1.80276,1.28712,0.97943,0.877142,0.844467,1.00796
