2048	9.91836	1.76113	4.28853	5.6318159364	2.3127645137	9.79223	1.6597	3.9716	5.9	2.465562997
4096	10.1046	1.76787	4.5299	5.7156917647	2.2306452681	9.8536	1.665	4.08429	5.918078078	2.412561302
8192	10.4727	2.11345	5.17201	4.9552627221	2.0248800756	10.0937	1.92808	4.35491	5.235104353	2.31777465
16384	11.348	2.68396	6.45622	4.2280808954	1.7576848373	10.6567	2.41011	5.10874	4.421665401	2.085974232
32768	13.79	4.74673	9.16648	2.9051578666	1.5043942713	13.0226	4.04586	6.62478	3.218747065	1.965740749
65536	18.0061	8.00458	14.5751	2.2494746757	1.2354014724	16.3571	6.62487	9.55573	2.469044676	1.711758285
131072	39.2142	14.9032	28.2838	2.6312604005	1.3864544368	23.5736	11.7534	15.4563	2.005683462	1.525177436
262144	67.6909	27.4417	52.7242	2.4667167122	1.2838677495	44.4832	22.53	30.1257	1.97439858	1.476586436
524288	125.496	53.2537	101.537	2.3565686516	1.2359632449	79.1154	43.6569	56.0942	1.812208379	1.410402502
1048576	239.826	105.408	200.086	2.2752163024	1.1986145957	147.931	85.8473	108.116	1.723187567	1.368261867

